phi;EGR;T;;;;;;;;
0.8;0;1534.1299936909;;;;;;;;
0.8;0.1;1519.39512167142;;;;;;;;
0.8;0.3;1475.74251966717;;;;;;;;
0.8;0.5;1391.81713940395;;;;;;;;
0.9;0;1854.73228405316;;;;;;;;
0.9;0.1;1836.89303161399;;;;;;;;
0.9;0.3;1783.69079589766;;;;;;;;
0.9;0.5;1680.29627215156;;;;;;;;
1;0;2210.55999125014;;;;;;;;
1;0.1;2189.49262714618;;;;;;;;
1;0.3;2126.21316716717;;;;;;;;
1;0.5;2001.84421320483;;;;;;;;
1.1;0;2158.32446808511;;;;;;;;
1.1;0.1;2136.18355807087;;;;;;;;
1.1;0.3;2069.20624865909;;;;;;;;
1.1;0.5;1936.12376070155;;;;;;;;
1.2;0;2108.86921404163;;;;;;;;
1.2;0.1;2085.74870583067;;;;;;;;
1.2;0.3;2015.29786680988;;;;;;;;
1.2;0.5;1873.77913085918;;;;;;;;
