EGR,phi,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.0,0.8,100000.00000000001,300.0,2007.268337168293,0.2835062424298798,0.00043370944821284136,-2.8676191585380116e-22,0.03936259913917438,0.07653841916352065,0.15532648941069452
0.1,0.8,100000.00000000006,300.00000000000006,1988.040024503103,0.26947383531238545,0.00045041948755965766,-3.9711851297870825e-28,0.03902932311906282,0.0844331139889319,0.1540110229177142
0.3,0.8,100000.00000000006,300.0,1936.02839284786,0.23376522628213667,0.0005017325607078989,-4.60556446370326e-19,0.038038666271933363,0.10631724909526939,0.150344715728378
0.0,0.8,500000.0000000002,300.0,2009.3761104551013,0.1438523366130568,0.0001707042884614774,-1.3469805691813345e-09,0.03919342498559522,0.07691425165640407,0.15528176219189843
0.1,0.8,500000.00000000023,300.00000000000006,1990.3036191154008,0.13675932406286348,0.00017744829146047896,-2.168055029993969e-27,0.0387825219566136,0.08486828761134685,0.15391680998882182
0.3,0.8,500000.00000000023,300.0,1937.204618017826,0.11830850493872352,0.00019819229194553413,-1.2644784131046404e-23,0.03790456840559025,0.10659649402174422,0.15032919967111402
0.0,0.8500000000000001,100000.00000000003,300.0,2083.39706950037,0.32157660362990614,0.0003947076541898749,-9.472387287653892e-10,0.029850620196962673,0.08031723059827231,0.16414626337323746
0.1,0.8500000000000001,100000.00000000003,300.00000000000006,2062.521648498184,0.30564858633763897,0.00041050213208983737,-2.7017591584158197e-10,0.029538504551387023,0.0886697324546074,0.16267107300893366
0.3,0.8500000000000001,100000.00000000004,300.0,2005.9695551814223,0.26387071362719944,0.0004580332767662854,-1.1481984468697193e-10,0.02871199229191069,0.11173518047888584,0.1586156735867091
0.0,0.8500000000000001,500000.00000000035,300.0,2087.477539857487,0.16328214706545544,0.00015550849451856542,-2.7066853952081046e-10,0.02962778484587824,0.08087552429462244,0.16429071451088245
0.1,0.8500000000000001,500000.00000000035,300.00000000000006,2066.092294996217,0.15506598037127228,0.0001619240303432058,-8.280447417101814e-10,0.029348460878179942,0.0891763429836036,0.16283126679600124
0.3,0.8500000000000001,500000.00000000035,300.0,2008.6092799348794,0.1337493599149093,0.0001811259608919418,-3.45183608653497e-20,0.028480634344508017,0.11227621348501209,0.15862037106092064
0.0,0.9000000000000001,100000.00000000007,300.0,2153.3368151387886,0.3569977627822329,0.00036620464667995754,-7.568297313177201e-20,0.02071641092079543,0.08340975514798435,0.1727880404932848
0.1,0.9000000000000001,100000.00000000006,300.0,2130.14914172517,0.33900683367359974,0.00038170061112342997,-9.518795935199133e-18,0.02058898959059087,0.09209074446938365,0.1712759231614101
0.3,0.9000000000000001,100000.00000000006,300.0,2070.3225891747343,0.2917329020421842,0.00042703797679643,-3.7789253182187105e-08,0.019746884519414178,0.11656403755750193,0.16668784353445704
0.0,0.9000000000000001,500000.0000000003,300.0,2161.7966677993627,0.18150885173556439,0.00014428183084043723,-4.495178355885744e-20,0.020197097788877967,0.0846104529232048,0.17301080040049177
0.1,0.9000000000000001,500000.00000000023,300.0,2138.731436768994,0.17229175616967984,0.00015020697033851665,-7.793238571273286e-23,0.019995963024410736,0.09334688348294225,0.17138298113626244
0.3,0.9000000000000001,500000.00000000023,300.0,2076.387756793824,0.14816743290119547,0.0001686909992928982,-4.889374131164167e-21,0.019312823469546003,0.11757663481491067,0.166799692642027
0.0,0.9500000000000002,100000.00000000003,300.0,2212.8929333507995,0.38845375882062577,0.00034596104606558146,-1.4984348195514435e-17,0.012376175345072243,0.08508397533965005,0.1812953855667106
0.1,0.9500000000000002,100000.00000000004,299.9999999999999,2188.9029348677145,0.36768414872305083,0.0003606638089016462,-2.285485367092335e-09,0.012189895692046355,0.09437746216138784,0.17951737888837774
0.3,0.9500000000000002,100000.00000000004,300.0000000000001,2125.954215262226,0.3150903765726945,0.00040474202271185376,-6.673237922628583e-10,0.011458531218125175,0.12016244975090508,0.17458149919980442
0.0,0.9500000000000002,500000.00000000035,300.0,2228.136095898119,0.19762743226668306,0.00013648625773154794,-1.9603865268828705e-09,0.011335873771958514,0.08738827106186182,0.1816475470171794
0.1,0.9500000000000002,500000.0000000004,299.9999999999999,2203.8609336647246,0.18686681739366018,0.00014223073430408853,-3.0082163557083495e-21,0.011158734499640938,0.09660059605395868,0.1798519640621511
0.3,0.9500000000000002,500000.00000000035,300.0000000000001,2051.796108949142,0.18177168188187887,0.0003035870341454248,-5.088260096302976e-21,0.011229310843859417,0.12120666038201512,0.1768533823168102
0.0,1.0000000000000002,100000.00000000007,300.0,2254.7305898253207,0.41325581373290005,0.00033108749486156854,-1.2385698882237733e-16,0.005353054922239357,0.08418722475829905,0.18941012676394473
0.1,1.0000000000000002,100000.00000000003,300.0,2229.7367796002777,0.3904926932474889,0.00034550291911961703,-1.2799032110750117e-08,0.005190136674604878,0.09394824526873828,0.18751443989171038
